PC Timestamp (YYYY-MM-DD    HH:MM:SS.SSS),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pitch,setPoint,output,kP,kI,kD
2017-02-01    17:40:13.947,-0.26,-0.04,9.96,0.05,-0.01,0.14,8.56,18.87,-1.87,1.37,1.0,13.28,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.32,-0.11,9.98,0.07,0.01,0.18,8.69,18.87,-1.87,1.31,1.0,5.44,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.26,-0.45,10.06,0.08,-0.0,0.19,8.69,18.87,-1.87,1.25,1.0,3.23,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.26,-0.38,9.85,0.08,-0.0,0.18,8.69,18.87,-1.87,1.19,1.0,1.01,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.19,-0.49,9.88,0.07,-0.01,0.16,8.69,18.87,-1.87,1.12,1.0,-1.2,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.13,-0.47,10.07,0.05,0.0,0.09,8.25,18.87,-1.87,1.12,1.0,4.43,35.4,0.0,0.9
2017-02-01    17:40:13.948,-0.21,-0.41,10.03,0.04,0.0,0.05,8.25,18.87,-1.87,1.06,1.0,-3.41,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.24,-0.4,9.91,0.03,0.0,0.03,8.25,18.87,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.19,-0.12,10.0,0.01,0.0,0.01,8.25,18.87,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.24,-0.09,10.01,0.02,0.0,-0.01,8.25,18.87,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.25,-0.02,10.08,0.02,0.0,-0.01,9.0,17.37,-1.19,1.0,1.0,-5.62,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.27,-0.07,9.89,0.01,-0.0,0.0,9.0,17.37,-1.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.29,-0.01,9.96,0.0,-0.01,0.0,9.0,17.37,-1.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.29,-0.04,9.98,-0.0,-0.0,0.0,9.0,17.37,-1.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.949,-0.29,-0.1,10.09,-0.01,0.01,0.0,8.25,18.06,-2.87,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.29,-0.15,10.07,-0.02,0.0,-0.0,8.25,18.06,-2.87,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.29,-0.22,10.01,-0.03,0.0,-0.0,8.25,18.06,-2.87,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.28,-0.24,10.07,-0.02,0.0,0.0,8.25,18.06,-2.87,1.06,1.0,7.84,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.27,-0.22,10.11,-0.02,0.01,0.0,9.69,18.06,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.3,-0.22,10.07,-0.02,0.01,-0.0,9.69,18.06,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.27,-0.2,9.92,-0.02,0.0,0.0,9.69,18.06,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.26,-0.18,10.04,-0.01,-0.0,-0.0,9.69,18.06,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.25,-0.15,10.07,-0.01,0.0,-0.0,9.0,17.75,-1.5,1.12,1.0,10.05,35.4,0.0,0.9
2017-02-01    17:40:13.950,-0.24,-0.1,10.0,-0.01,0.0,-0.0,9.0,17.75,-1.5,1.12,1.0,4.43,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.23,-0.09,9.88,-0.0,0.0,-0.0,9.0,17.75,-1.5,1.12,1.0,4.43,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.22,-0.04,10.02,-0.0,-0.0,0.0,9.0,17.75,-1.5,1.12,1.0,4.43,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.21,-0.04,10.05,0.01,-0.0,0.0,9.69,18.06,-2.56,1.06,1.0,-3.41,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.2,-0.04,10.04,0.0,0.01,0.0,9.69,18.06,-2.56,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.21,-0.06,9.9,0.02,0.01,0.0,9.69,18.06,-2.56,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.29,-0.1,10.06,0.02,0.01,0.0,9.69,18.06,-2.56,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.28,-0.11,10.07,0.02,0.01,0.01,9.0,18.06,-1.87,1.06,1.0,2.21,35.4,0.0,0.9
2017-02-01    17:40:13.951,-0.32,-0.12,10.08,0.02,0.01,0.01,9.0,18.06,-1.87,1.0,1.0,-5.62,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.31,-0.15,9.94,0.02,0.01,0.01,9.0,18.06,-1.87,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.31,-0.18,10.0,0.02,0.01,0.0,9.0,18.06,-1.87,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.28,-0.19,10.06,0.01,0.0,0.0,9.0,18.87,-2.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.28,-0.21,9.99,0.01,0.01,0.0,9.0,18.87,-2.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.27,-0.23,9.92,-0.0,0.0,0.0,9.0,18.87,-2.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.952,-0.24,-0.2,9.99,-0.01,0.01,-0.0,9.0,18.87,-2.19,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.22,-0.16,10.06,-0.02,0.0,0.0,9.0,18.06,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.22,-0.17,10.09,-0.01,0.01,0.0,9.0,18.06,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.19,-0.17,9.95,-0.02,0.0,-0.0,9.0,18.06,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.19,-0.12,9.98,-0.02,0.0,-0.0,9.0,18.06,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.2,-0.11,10.09,-0.01,0.01,-0.01,9.0,17.75,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.21,-0.12,9.98,-0.01,0.01,-0.0,9.0,17.75,-2.56,1.06,1.0,7.84,35.4,0.0,0.9
2017-02-01    17:40:13.953,-0.21,-0.12,9.84,-0.01,0.01,-0.0,9.0,17.75,-2.56,1.0,1.0,-5.62,35.4,0.0,0.9
2017-02-01    17:40:13.954,-0.23,-0.11,9.93,-0.01,0.0,0.0,9.0,17.75,-2.56,1.0,1.0,0.0,35.4,0.0,0.9
2017-02-01    17:40:13.954,-0.25,-0.1,10.06,-0.01,0.0,0.0,8.69,17.06,-0.75,1.0,1.0,0.0,35.4,0.0,0.9
